"","site_unique","Andropogoneae","Chloridoideae","non_applicable/no_tribe","latitude","longitude"
"297","QDACYP0002-58586",0.2,0.1,95.5,-15.2845388888889,145.191505555556
"298","QDACYP0003-58587",0.7,0,145.1,-15.2767416666667,145.286319444444
"299","QDACYP0004-58588",24.5,0.2,79.1,-14.0928361111111,142.977058333333
"300","QDACYP0005-58589",20.6,17.1,79.2,-14.1426222222222,142.976261111111
"301","QDACYP0006-58591",48,0,60.2,-14.2266805555556,142.932519444444
"302","QDACYP0007-58592",36.5,1,113.7,-14.2265944444444,142.985219444444
"303","QDACYP0008-58593",7.6,0.4,86.8,-14.2982472222222,143.093208333333
"304","QDACYP0009-58594",48.8,0.8,72.3,-14.0673,143.208319444444
"305","QDACYP0010-58595",38.6,5.2,82.1,-13.0918611111111,142.772755555556
"306","QDACYP0011-58596",36.4,16,66.5,-13.206975,142.739772222222
"307","QDACYP0012-58597",0,0,242.3,-13.3202777777778,142.5913
"308","QDACYP0013-58598",61.9,1.2,55.4,-12.2021333333333,142.568680555556
"309","QDACYP0014-58599",15.1,11.6,106.3,-12.19935,142.549897222222
"310","QDACYP0015-58600",47.2,2,50.5,-12.2193638888889,142.538511111111
"311","QDACYP0016-58601",5.1,0,142,-11.4971583333333,142.430338888889
"312","QDACYP0017-58602",16.1,0,106.5,-11.5433055555556,142.439355555556
"313","QDACYP0018-58603",5.5,0,116.2,-11.0536333333333,142.366755555556
"314","QDACYP0019-58604",0.1,0,97.4,-10.7275416666667,142.490316666667
"315","QDACYP0020-58615",0,0.4,106.5,-10.9361666666667,142.466988888889
"316","QDACYP0021-58606",16.3,0,106,-10.937449,142.459743
"317","QDACYP0022-58607",5.6,1.6,109.5,-10.7881638888889,142.438255555556
"318","QDACYP0023-58608",58.9,0,72.5,-12.3322444444444,142.231052777778
"319","QDACYP0024-58609",40,0.1,89.6,-12.368075,142.204272222222
"320","QDADEU0001-58888",35.4,6.1,68.9,-20.5462170581868,146.129021077344
"321","QDAEIU0001-53470",54.6,0,2.5,-19.5387138888889,144.210019444444
"322","QDAEIU0002-53523",35.8,1.9,24.1,-19.5525,144.22415
"323","QDAEIU0003-53471",45.8,0,10.9,-19.4099083333333,144.169586111111
"324","QDAEIU0004-53524",74.6,0.8,21.9,-19.4465805555556,144.161472222222
"325","QDAEIU0005-53472",0,0,6.8,-18.4549388888889,143.899397222222
"326","QDAEIU0006-53473",21.2,0,79.5,-18.4678472222222,143.891697222222
"327","QDAEIU0007-53474",18.4,0,76.9,-18.4678416666667,143.890752777778
"328","QDAEIU0008-58882",17.9,10.2,66.6,-19.8878663419573,146.189186817774
"329","QDAEIU0009-58881",52,10.1,58.7,-19.887857715793,146.187218701618
"330","QDAEIU0010-58883",22.6,1.8,76.1,-19.8933742729914,146.182391024598
"331","QDAGUP0001-53526",0.2,0,55.1,-20.1087638888889,143.724355555556
"332","QDAGUP0002-53475",3.3,0.5,45.2,-20.0309972222222,143.762527777778
"333","QDAGUP0003-53527",1.8,0.1,42.4,-20.3992777777778,143.681688888889
"334","QDAGUP0004-53476",0,0.5,39.3,-20.0137333333333,142.477888888889
"335","QDAGUP0005-53528",0,0,58.1,-19.9913722222222,142.46505
"336","QDAGUP0006-53477",0,0,37.8,-19.95565,142.402102777778
"337","QDAGUP0007-53478",3.2,1.7,38.8,-20.084325,141.817025
"338","QDAGUP0008-53529",0.2,1,58,-19.8016944444444,142.021525
"339","QDAGUP0009-53530",9.4,9.8,30.2,-19.8458694444444,141.960686111111
"340","QDAGUP0010-53479",0.4,0.2,45.3,-19.9148527777778,141.834283333333
"341","QDAGUP0011-53531",3.7,1,57.7,-19.9398194444444,141.827775
"342","QDAGUP0012-53525",8.8,1.8,17,-19.5818527777778,140.311727777778
"343","QDAGUP0013-53532",0.2,20,4.6,-19.297825,140.16375
"344","QDAGUP0014-53480",25.2,12.4,11.8,-18.2388388888889,140.787038888889
"345","QDAGUP0015-53533",28.8,10.2,25.6,-18.2570472222222,140.732569444444
"346","QDAGUP0016-53481",7.5,11.1,45.1,-18.2488555555556,140.748266666667
"347","QDAGUP0017-53568",0,0,50.9,-17.6413777777778,141.086263888889
"348","QDAGUP0018-53482",3.5,9.1,59.5,-17.6605388888889,141.105402777778
"349","QDAGUP0019-53534",0,15.6,14.2,-17.6216583333333,141.073663888889
"350","QDAGUP0020-53483",0,33.7,25.6,-17.0135583333333,140.960225
"351","QDAGUP0021-53535",0,1.9,52.1,-17.0021916666667,140.993702777778
"352","QDAGUP0022-53484",0,0.9,36.1,-17.0222388888889,141.055480555556
"353","QDAGUP0023-53536",5.5,1.4,54.4,-17.0233861111111,141.037302777778
"354","QDAGUP0024-53485",0,10.1,9.3,-17.4635388888889,140.847533333333
"355","QDAGUP0025-53537",24.9,0,33.4,-17.4580194444444,140.840233333333
"356","QDAGUP0026-53486",31,4.7,23.7,-17.4704861111111,140.847705555556
"357","QDAGUP0027-53538",0,0.1,81.4,-17.3757277777778,141.175841666667
"358","QDAGUP0028-53487",0,0.3,74.5,-17.2950416666667,141.178916666667
"359","QDAGUP0029-53488",6.8,0,26.4,-16.8471638888889,143.158461111111
"360","QDAGUP0030-53489",14.6,0,31,-16.8480416666667,143.158466666667
"361","QDAGUP0031-53490",8.1,0.9,27.9,-16.8480583333333,143.157519444444
"362","QDAMGD0001-53586",6.6,17.7,8.8,-23.5207694444444,144.225891666667
"363","QDAMGD0002-53587",0.1,4,42.7,-23.5094777777778,144.226038888889
"364","QDAMGD0003-53491",7.5,13.7,19.6,-23.5308277777778,144.303463888889
"365","QDAMGD0004-53588",0.7,9.3,20.2,-23.5140738333333,144.341707355556
"366","QDAMGD0005-53589",0.1,3.4,45.2,-23.5177361111111,144.333286111111
"367","QDAMGD0006-53492",0.9,6.9,16.5,-23.6647083333333,144.041794444444
"368","QDAMGD0007-53590",0.7,20.3,7,-23.6581722222222,144.094941666667
"369","QDAMGD0008-53493",0.1,15.9,5,-23.6460138888889,144.074980555556
"370","QDAMGD0009-53494",0,0.7,9,-24.0941638888889,143.3365
"371","QDAMGD0010-53591",0,0.3,59.1,-24.0912138888889,143.353413888889
"372","QDAMGD0011-53495",0,13.4,0.7,-24.0806305555556,143.315183333333
"373","QDAMGD0012-53496",0,0,25.4,-24.8218222222222,144.823608333333
"374","QDAMGD0013-53539",0.1,7.6,6.2,-22.5161777777778,143.050230555556
"375","QDAMGD0014-53497",0.5,7.3,6.5,-22.50515,143.025197222222
"376","QDAMGD0015-53540",0,0,21.1,-22.5629305555556,143.058172222222
"377","QDAMGD0016-53498",0,0,22.9,-22.5089638888889,143.139880555556
"378","QDAMGD0017-53499",0.1,17,2.9,-22.1149666666667,143.299425
"379","QDAMGD0018-53541",0.1,28.6,9.6,-22.1181777777778,143.337166666667
"380","QDAMGD0019-53542",0,17.2,1.5,-22.0701222222222,142.231813888889
"381","QDAMGD0020-53500",0.4,0,26,-22.0636027777778,142.223008333333
"382","QDAMGD0021-53543",1.2,9.4,7.7,-22.3808,141.299880555556
"383","QDAMGD0022-53501",1.1,9.3,7,-22.3687444444444,141.287280555556
"384","QDAMGD0023-53544",25.1,4.3,39.5,-23.6872416666667,140.986636111111
"385","QDAMGD0024-53502",0,5.2,2.5,-23.6464194444444,141.003738888889
"386","QDAMGD0025-53545",0.5,0,33.1,-20.3379472222222,143.872438888889
"387","QDAMGD0026-53503",0,0.2,34.9,-20.3961916666667,143.860777777778
"388","QDAMGD0027-56936",5.5,17.9,10.9,-20.0695166666667,138.174561111111
"389","QDAMGD0028-56937",11.4,10.7,20.5,-19.9491388888889,138.098630555556
"390","QDAMII0001-53504",1.1,0.2,8.6,-19.50785,140.221358333333
"391","QDAMII0002-53546",16.7,0.1,14.2,-20.0078944444444,138.160591666667
"392","QDAMUL0001-53594",0,0.3,68.5,-24.7336472222222,144.683438888889
"393","QDAMUL0002-53505",0,0,64.4,-24.7381527777778,144.701591666667
"394","QDAMUL0003-53595",0,0.5,67.1,-24.7551222222222,144.708322222222
"395","QDASEQ0001-58960",20.1,0.1,188.6,-27.388974,152.880106
"396","QDASEQ0002-58745",75.6,0,47.2,-26.9026219444444,151.632718888889
"397","QDASEQ0003-58961",8.7,0,188.1,-27.391123,152.876739
"398","QDASEQ0004-58885",10.7,0,182.6,-27.390056,152.875777
"399","QDASSD0001-53756",0,0,34.7,-23.7640694444444,138.476516666667
"400","QDASSD0001-57621",0,0,46,-23.7640694444444,138.476516666667
"401","QDASSD0001-58680",0,0,50.1,-23.7640694444444,138.476516666667
"402","QDASSD0002-53757",0,3,19.8,-23.8277194444444,138.389702777778
"403","QDASSD0002-57622",0,0,37.5,-23.8277194444444,138.389702777778
"404","QDASSD0002-58681",0,0.9,43.6,-23.8277194444444,138.389702777778
"405","QDASSD0003-56912",0,0.3,28.8,-23.8315722222222,138.407416666667
"406","QDASSD0003-57623",0,5.8,40.2,-23.8315722222222,138.407416666667
"407","QDASSD0003-58682",0,5.9,43.4,-23.8315722222222,138.407416666667
"408","QDASSD0004-56913",0,0.1,35,-23.680125,138.433775
"409","QDASSD0004-57624",0,0.2,51.4,-23.680125,138.433775
"410","QDASSD0004-58683",0,0.1,60.2,-23.680125,138.433775
"411","QDASSD0005-56914",0,0,22.5,-23.6944388888889,138.440997222222
"412","QDASSD0005-57625",0,0.5,58,-23.6944388888889,138.440997222222
"413","QDASSD0005-58684",0,0,30,-23.6944388888889,138.440997222222
"414","QDASSD0006-56915",0,0.6,24.4,-23.8795416666667,138.098419444444
"415","QDASSD0006-57626",0,0,59.3,-23.8795416666667,138.098419444444
"416","QDASSD0006-58685",0,0.2,36,-23.8795416666667,138.098419444444
"417","QDASSD0007-56916",10.1,0,23.2,-23.8804888888889,138.096425
"418","QDASSD0007-57627",14.5,0,49.5,-23.8804888888889,138.096425
"419","QDASSD0007-58686",5.4,0,29.4,-23.8804888888889,138.096425
"420","QDASSD0008-56917",0,0,42.1,-23.9541527777778,138.136986111111
"421","QDASSD0008-57628",0,0,69.6,-23.9541527777778,138.136986111111
"422","QDASSD0008-58687",0,0,44.9,-23.9541527777778,138.136986111111
"423","QDASSD0009-56918",14.2,0,31.2,-23.9673083333333,138.140975
"424","QDASSD0009-57629",23.4,0,47.4,-23.9673083333333,138.140975
"425","QDASSD0009-58688",43.7,0.1,49,-23.9673083333333,138.140975
"426","QDASSD0010-56919",0.8,0,10.1,-23.731025,138.000386111111
"427","QDASSD0010-58689",16,1.2,40.8,-23.731025,138.000386111111
"428","QDASSD0011-56920",0,6.6,15.9,-23.2366333333333,138.226080555556
"429","QDASSD0011-57631",0,0.1,26,-23.2366333333333,138.226080555556
"430","QDASSD0011-58690",0,1.2,22.8,-23.2366333333333,138.226080555556
"431","QDASSD0012-56921",0,0,14.8,-23.3444972222222,138.252244444444
"432","QDASSD0012-57632",0,4.1,64.9,-23.3444972222222,138.252244444444
"433","QDASSD0012-58691",0,6,34.5,-23.3444972222222,138.252244444444
"434","QDASSD0013-56922",0,0,24.7,-23.2941888888889,138.226025
"435","QDASSD0013-57633",0,0.2,44.4,-23.2941888888889,138.226025
"436","QDASSD0013-58692",0,0.5,51.9,-23.2941888888889,138.226025
"437","QDASSD0014-56923",0.7,3.2,15.6,-23.1757861111111,138.167288888889
"438","QDASSD0014-57634",0,3.5,36.2,-23.1757861111111,138.167288888889
"439","QDASSD0014-58693",0,2.2,29.9,-23.1757861111111,138.167288888889
"440","QDASSD0015-56924",0,3.2,30.4,-23.188075,138.193094444444
"441","QDASSD0015-57635",0,1.4,42.3,-23.188075,138.193094444444
"442","QDASSD0015-58694",0,1.4,34.4,-23.188075,138.193094444444
"443","SAABHC0001-58578",0,0,22.7,-31.9228805555556,140.465169444444
"444","SAABHC0001-58793",0,0,33.2,-31.9228805555556,140.465169444444
"445","SAABHC0002-58563",0,0,23.7,-31.9833694444444,140.502377777778
"446","SAABHC0002-58794",0,0,23.6,-31.9833694444444,140.502377777778
"447","SAABHC0003-58577",0,0,12.4,-31.9426555555556,140.546602777778
"448","SAABHC0003-58795",0,0,18,-31.9426555555556,140.546602777778
"449","SAABHC0004-58564",0,0,54.6,-32.0189972222222,140.526855555556
"450","SAABHC0004-58796",0,0,61.3,-32.0189972222222,140.526855555556
"451","SAABHC0005-58797",0,0,10,-31.9732123531821,140.583642862064
"452","SAABHC0006-58798",0,0,7.9,-31.9046965345642,140.680164670566
"453","SAAEYB0001-57637",0,0,83.4,-34.4568,137.364630555556
"454","SAAEYB0002-58852",0,0,84.8,-35.1010595017196,137.395733562074
"455","SAAEYB0003-58853",0,0,149.4,-35.1726705844467,137.165134496676
"456","SAAEYB0004-58846",0,0,178.8,-35.1536276675088,137.078354169249
"457","SAAEYB0005-58851",0,0,116.8,-35.113453,137.017442
"458","SAAEYB0006-58850",0,0,150.7,-35.132789,137.095945
"459","SAAEYB0007-58848",0,0,103.1,-35.2704748,136.8777863
"460","SAAEYB0008-58849",0,0,130.6,-35.0493487203366,137.213925289641
"461","SAAEYB0009-58841",0,0,82.5,-35.2553630961802,136.848181144853
"462","SAAEYB0010-58842",0,0,140.7,-35.246255,136.926715
"463","SAAEYB0011-58847",0,0,180.5,-35.156909,137.046928
"464","SAAEYB0012-58840",0,0,135.9,-35.1725933091166,136.946590517549
"465","SAAEYB0013-58845",0,0,154,-35.1897168287742,137.096902886899
"466","SAAEYB0021-58834",0,0,65.2,-33.8388221207133,136.129233067226
"467","SAAEYB0022-58839",0,0,69.8,-33.8352958348223,136.018886214555
"468","SAAEYB0023-58835",0,0,46.9,-33.8109867050971,136.147319838707
"469","SAAEYB0024-58836",0,0,69.4,-33.7616102915026,136.067405126058
"470","SAAEYB0025-58844",0,0,94.5,-34.6620865346686,135.37095427325
"471","SAAEYB0026-58843",0,0,84.6,-34.6702565665773,135.392463514687
"472","SAAEYB0027-58854",0,0,105.3,-34.6799485006395,135.391065811798
"473","SAAEYB0028-58829",0,0,21.6,-34.688537987332,135.387597043682
"474","SAAEYB0029-58855",0,0,19.3,-33.265793866005,136.937198090851
"475","SAAEYB0030-58856",0,0,45,-33.1909190686092,136.823457430335
"476","SAAEYB0031-58884",0,0,35.8,-33.2081081678862,136.90071180528
"477","SAAEYB0032-58899",0,0,31.9,-33.2023505004681,136.849443665604
"478","SAAEYB0033-58859",0,0,39.8,-33.2233481080784,136.924063302282
"479","SAAFLB0003-58033",0,0,123.3,-34.97365,138.646998
"480","SAAFLB0003-58704",0,0,114.8,-34.97365,138.646998
"481","SAAFLB0004-58526",0,0,98.4,-35.0703472222222,138.5786
"482","SAAFLB0005-58618",0,0,66.1,-33.0267694444444,138.103255555556
"483","SAAFLB0006-58619",0,0,131.6,-33.0857361111111,138.162691666667
"484","SAAFLB0007-58620",0,0,23.1,-31.8236888888889,138.299702777778
"485","SAAFLB0008-58621",0,0,43.9,-31.8377861111111,138.351191666667
"486","SAAFLB0030-53506",0.1,3.4,18,-29.9784833333333,138.015119444444
"487","SAAFLB0030-58617",0,11.2,7.7,-29.9784833333333,138.015119444444
"488","SAAFLB0031-53507",0,1.9,14.7,-29.971575,137.954566666667
"489","SAAFLB0031-58616",0,0.9,7.1,-29.971575,137.954566666667
"490","SAAGAW0001-56992",0,0,44.5,-32.9832472222222,137.197208333333
"491","SAAGAW0002-56993",0,0,26.3,-32.9801194444444,137.244272222222
"492","SAAGAW0003-56994",0,0,45.7,-32.97155,137.248361111111
"493","SAAGAW0004-58716",0,1.4,36.8,-30.87168877,135.4403808
"494","SAAGAW0005-58748",0,0,27.1,-30.8032510114135,135.390123508285
"495","SAAGAW0006-58717",0,2.9,20.2,-30.533632,135.547127
"496","SAAGAW0007-58749",0,0,22.6,-30.5473675778894,135.526835008113
"497","SAAGAW0008-58750",0,1.8,15.7,-30.6796833723201,135.538546009711
"498","SAAGVD0001-56925",0,8.6,19.7,-29.3453361111111,130.446161111111
"499","SAAGVD0002-56926",0,11.6,23.4,-29.3464916666667,130.450477777778
"500","SAAGVD0003-56927",0,33.3,37,-29.3216888888889,130.446161111111
"501","SAAGVD0004-56947",0,0,26.1,-30.8147527777778,132.134261111111
"502","SAAKAN0001-58610",0,0,155.2,-35.6486444444444,137.368027777778
"503","SAAKAN0001-58893",0,0,110.9,-35.6486444444444,137.368027777778
"504","SAAKAN0002-58630",0,0,138.7,-35.643269,137.217397
"505","SAAKAN0002-58876",0,0,230.5,-35.643269,137.217397
"506","SAAKAN0003-58622",0,0,132.3,-35.7440833333333,137.334044444444
"507","SAAKAN0003-58892",0,0,33.8,-35.7440833333333,137.334044444444
"508","SAAKAN0004-58623",0,0,156.7,-35.723154,136.973161
"509","SAAKAN0004-58877",0,0,44.4,-35.723154,136.973161
"510","SAAKAN0005-58624",0,0,202,-35.810624,136.88294
"511","SAAKAN0005-58891",0,0,32.8,-35.810624,136.88294
"512","SAAKAN0006-58625",0,0,131.4,-35.900621287,136.896083468
"513","SAAKAN0007-58632",0,0,164.4,-35.908982,136.586576
"514","SAAKAN0007-58878",0,0,44.9,-35.908982,136.586576
"515","SAAKAN0008-58626",0,0,160.5,-35.904381,137.551283
"516","SAAKAN0008-58894",0,0,159,-35.904381,137.551283
"517","SAAKAN0009-58634",0,0,143.9,-35.943027,137.324832
"518","SAAKAN0009-58901",0,0,109,-35.943027,137.324832
"519","SAAKAN0010-58627",0,0,124.7,-35.842017,137.906987
"520","SAAKAN0010-58895",0,0,95.4,-35.842017,137.906987
"521","SAAKAN0011-58628",0,0,122.6,-35.783373,138.061671
"522","SAAKAN0011-58879",0,0,102.8,-35.783373,138.061671
"523","SAAKAN0012-58629",0,0,122.6,-35.884354,137.989879
"524","SAAKAN0012-58896",0,0,111.4,-35.884354,137.989879
"525","SAAMDD0007-53742",0,0,59.4,-34.3623461111111,139.499723611111
"526","SAAMDD0007-58833",0,0,18.7,-34.3623461111111,139.499723611111
"527","SAAMDD0008-53743",0,0,68.3,-34.3417311111111,139.507722222222
"528","SAAMDD0008-58832",0,0,56,-34.3417311111111,139.507722222222
"529","SAAMDD0009-53744",0,0,58.8,-34.3579019444444,139.485928611111
"530","SAAMDD0009-58830",0,0,34.5,-34.3579019444444,139.485928611111
"531","SAAMDD0010-53700",0,0,75.5,-34.3205658333333,139.502423888889
"532","SAAMDD0010-58831",0,0,63,-34.3205658333333,139.502423888889
"533","SAAMDD0011-53745",0,0,44.6,-34.3199805555556,139.530028611111
"534","SAAMDD0011-58828",0,0,32.9,-34.3199805555556,139.530028611111
"535","SAANUL0001-56948",0,0,25,-30.9657583333333,132.087641666667
"536","SAANUL0002-56949",0,0,37.2,-31.3933722222222,131.277372222222
"537","SAANUL0003-56950",0,0,36.6,-31.482375,131.266791666667
"538","SAANUL0004-56951",0,0,31.9,-31.5111777777778,131.306630555556
"539","SAARIV0001-57090",0,0,90.9,-34.0843027777778,140.757602777778
"540","SAARIV0001-58046",0,0,123,-34.0843027777778,140.757602777778
"541","SAARIV0002-57091",0,0,98.4,-34.0833416666667,140.758477777778
"542","SAARIV0002-58047",0,0,96,-34.0833416666667,140.758477777778
"543","SAARIV0003-57092",0,0,71.9,-34.0838888888889,140.7602
"544","SAARIV0003-57612",0,0,76.8,-34.0838888888889,140.7602
"545","SAARIV0004-57093",0,0,75.1,-34.2615666666667,140.386861111111
"546","SAARIV0004-58051",0,0,88,-34.2615666666667,140.386861111111
"547","SAARIV0005-57094",0,0,113.8,-34.2634722222222,140.387733333333
"548","SAARIV0005-58052",0,0,110.5,-34.2634722222222,140.387733333333
"549","SAARIV0006-57095",0,0,93.6,-34.2636333333333,140.389852777778
"550","SAARIV0006-58053",0,0,91.6,-34.2636333333333,140.389852777778
"551","SAARIV0007-57096",0,0,78.4,-34.15945,139.926763888889
"552","SAARIV0007-58054",0,0,87.4,-34.15945,139.926763888889
"553","SAARIV0008-57097",0,0,52.1,-34.1591472222222,139.925416666667
"554","SAARIV0008-58056",0,0,58.8,-34.1591472222222,139.925416666667
"555","SAARIV0009-57089",0,0,39.2,-34.1583777777778,139.927861111111
"556","SAARIV0009-58055",0,0,45.8,-34.1583777777778,139.927861111111
"557","SAASTP0001-53719",0.1,5.4,20.5,-26.2781722222222,134.9992
"558","SAASTP0002-53720",0.4,10.6,19.9,-26.2746083333333,135.015597222222
"559","SAASTP0003-53721",0,2.3,14.6,-26.2739,135.072966666667
"560","SAASTP0004-53722",0,1.5,26.5,-26.0881422222222,135.452201944444
"561","SAASTP0005-53723",0.1,8,29.7,-26.0959083333333,135.423503333333
"562","SAASTP0006-57066",1,0,63.4,-26.340247,135.873785
"563","SAASTP0007-53724",0.8,4,26.1,-26.3550416666667,135.816591666667
"564","SAASTP0008-53725",0,4,8,-26.3688777777778,135.788761111111
"565","SAASTP0009-53726",0.4,0,53.3,-26.3502527777778,135.704627777778
"566","SAASTP0010-53727",0,3.2,9.2,-26.3666833333333,135.581711111111
"567","SAASTP0011-53728",0,7.4,3.1,-26.4805,135.457647222222
"568","SAASTP0012-53729",0,15,6.3,-26.6227944444444,135.433727777778
"569","SAASTP0013-53730",0,12.5,8.4,-26.5741027777778,135.307391666667
"570","SAASTP0014-57067",0,0,5,-27.86115,136.649369444444
"571","SAASTP0015-53715",0.1,3.7,5.5,-27.8656666666667,136.678330555556
"572","SAASTP0016-53716",0.4,1.7,44.9,-27.8349611111111,136.629922222222
"573","SAASTP0017-53717",0.2,0.4,50.3,-27.8397833333333,136.639730555556
"574","SAASTP0018-53718",0.5,8.2,13.2,-28.4334277777778,136.428380555556
"575","SAASTP0019-53731",0,6.6,11.7,-28.4196569444444,136.481239722222
"576","SAASTP0020-53732",0,3.2,11.5,-28.4376444444444,136.458813888889
"577","SAASTP0021-53733",0.2,1.5,7.4,-28.4024694444444,136.532908333333
"578","SAASTP0022-53735",0,6.5,26.6,-28.2056083333333,134.536
"579","SAASTP0023-53736",0.3,3.8,25.6,-28.20895,134.584947222222
"580","SAASTP0024-53737",0,0.2,6.1,-27.9941,134.973888888889
"581","SAASTP0025-53734",0,1,3.7,-27.9597227777778,134.971319444444
"582","SAASTP0026-53738",0.2,0.6,5,-27.788875,134.892207777778
"583","SAASTP0027-53739",0,0.5,5.7,-27.73725,134.843755555556
"584","SAASTP0028-53740",0,0.3,2,-27.7105611111111,134.844616666667
"585","SAASTP0029-53741",0,0.7,10.4,-28.0870777777778,135.861472222222
"586","SAASTP0030-56935",0,2,16.3,-29.290199,139.179877
"587","SAASTP0031-56938",0,6.5,9.5,-29.276984,139.175572
"588","SAASTP0032-56939",0,13.8,6.7,-29.2894861111111,139.182461111111
"589","SAASTP0033-58724",0,1,6.3,-30.3605802,135.3898437
"590","SAASTP0034-58751",0,2.2,43.2,-30.3633961,135.5281127
"591","SASMDD0001-53710",0,0,64.5,-34.0026583333333,140.586408333333
"592","SASMDD0001-58760",0,0,26.3,-34.0026583333333,140.586408333333
"593","SASMDD0002-53711",0,0,51.1,-34.0116972222222,140.592691666667
"594","SASMDD0003-57009",0,0,34.2,-33.9945305555556,140.585636111111
"595","SASMDD0004-56997",0,0,28.3,-33.9967638888889,140.734627777778
