"","site_location_name","visit_start_date_a","visit_start_date_b","pv","npv","bs"
"3","NSABHC0009",2012-09-03,2016-09-13,10.0078390860476,-5.57515799708313,-4.52651920272241
"31","NSABHC0012",2012-09-19,2016-09-15,11.481759149941,-16.19639905549,4.37642660369933
"22","NTAARP0005",2018-03-23,2021-06-04,-0.427522664613356,3.00564675152112,-2.67778448778323
"33","NTABRT0001",2012-03-19,2020-08-01,-5.56404958677686,-6.08367768595041,11.3946280991736
"34","NTABRT0002",2012-03-21,2020-07-31,-3.47275660533707,-5.75035015802943,9.05590502100948
"35","NTABRT0003",2012-03-22,2020-08-01,-2.90959868328898,-6.29025423728813,9.00635593220339
"36","NTABRT0004",2012-03-23,2020-08-08,-3.15636522568341,-2.13855424878152,5.00079995761814
"37","NTABRT0005",2012-03-24,2020-08-02,1.41001411438869,-20.4831781342376,18.7504260947528
"38","NTABRT0006",2012-03-24,2020-08-08,-4.38932417444814,-4.31387070230046,8.64684626668098
"4","NTAFIN0001",2016-03-04,2019-05-26,-2.55278433687525,-10.2373081463991,12.7182703659976
"39","NTAFIN0001",2011-10-20,2016-03-04,9.11914600550964,-38.3006198347107,28.7992424242424
"41","NTAFIN0001",2011-10-20,2019-05-26,6.5663616686344,-48.5379279811098,41.5175127902401
"412","NTAFIN0002",2016-03-05,2019-05-28,-5.54459366391185,3.98550275482093,1.74714187327824
"310","NTAFIN0002",2011-09-23,2016-03-05,10.3826664136729,-20.760020661157,10.1510000281104
"411","NTAFIN0002",2011-09-23,2019-05-28,4.83807274976106,-16.7745179063361,11.8981419013887
"42","NTAFIN0003",2016-03-04,2019-05-25,-2.91027154663518,5.72910927456382,-2.65446674537584
"311","NTAFIN0003",2011-09-24,2016-03-04,-7.00200480982271,1.78034635312473,4.79866715998182
"421","NTAFIN0003",2011-09-24,2019-05-25,-9.91227635645789,7.50945562768855,2.14420041460598
"43","NTAFIN0004",2016-03-02,2019-05-26,-2.51881149153876,0.516214088941361,2.03597009051554
"312","NTAFIN0004",2011-10-06,2016-03-02,5.33374655647383,-6.27506887052341,0.945730027548212
"431","NTAFIN0004",2011-10-06,2019-05-26,2.81493506493507,-5.75885478158205,2.98170011806376
"44","NTAFIN0005",2016-03-06,2019-05-25,-3.51099809281627,-2.13248569612206,5.5621424030515
"313","NTAFIN0005",2011-10-05,2016-03-06,7.86739435521597,-23.9204116638079,15.7653516295026
"441","NTAFIN0005",2011-10-05,2019-05-25,4.35639626239969,-26.05289735993,21.3274940325541
"45","NTAFIN0006",2016-03-06,2019-05-26,-2.47944479762662,-5.0322102140284,7.54216995126086
"314","NTAFIN0006",2011-10-07,2016-03-06,7.5031229832806,3.86846895638058,-11.538938640557
"451","NTAFIN0006",2011-10-07,2019-05-26,5.02367818565398,-1.16374125764781,-3.99676868929613
"46","NTAFIN0007",2016-03-02,2019-05-28,-5.15937377016923,-4.26378640299095,9.478453364817
"315","NTAFIN0007",2011-10-12,2016-03-02,4.90277152074401,-2.60573761366226,-2.50365065556453
"461","NTAFIN0007",2011-10-12,2019-05-28,-0.256602249425216,-6.86952401665321,6.97480270925247
"47","NTAFIN0008",2016-03-03,2019-05-30,-13.7308539944904,4.18388429752066,9.61873278236915
"316","NTAFIN0008",2011-10-13,2016-03-03,4.36030006625519,2.58591379851449,-6.85676761864909
"471","NTAFIN0008",2011-10-13,2019-05-30,-9.37055392823517,6.76979809603515,2.76196516372006
"48","NTAFIN0009",2016-03-06,2019-05-27,-2.15492111194591,0.360901577761084,1.77039819684448
"317","NTAFIN0009",2011-10-17,2016-03-06,5.9459798436083,0.896973119107507,-7.0007220710778
"481","NTAFIN0009",2011-10-17,2019-05-27,3.7910587316624,1.25787469686859,-5.23032387423333
"49","NTAFIN0010",2016-03-07,2019-05-27,-6.70915759014046,-4.22729159590928,10.9126439089549
"318","NTAFIN0010",2011-10-18,2016-03-07,5.37874889547274,6.87011019283747,-12.3548417277405
"491","NTAFIN0010",2011-10-18,2019-05-27,-1.33040869466772,2.64281859692819,-1.44219781878562
"410","NTAFIN0011",2016-03-06,2019-05-27,-5.69859597766575,-4.18875697945465,9.83713291641411
"319","NTAFIN0011",2011-10-20,2016-03-06,10.9914600550964,-10.7614325068871,-0.329752066115702
"4101","NTAFIN0011",2011-10-20,2019-05-27,5.29286407743067,-14.9501894863417,9.5073808502984
"320","NTAMAC0001",2014-10-06,2019-05-29,-1.66580578512397,-5.39515610651974,6.67731290174472
"321","NTAMAC0002",2014-10-07,2019-05-29,-3.96890987800079,9.2534435261708,-5.39433293978748
"322","NTAMAC0003",2014-10-06,2019-05-29,-4.87378882872613,5.22730774618294,-0.228385885849626
"223","NTAPCK0004",2018-03-19,2021-06-03,-11.549334035033,14.0771855253095,-2.40177831209671
"224","NTAPCK0006",2018-04-09,2021-06-06,-8.48396012257386,10.3177684916485,-1.62397532241157
"225","NTAPCK0007",2018-03-05,2021-06-07,-15.2306816064114,14.0460420869095,1.35366676692782
"326","QDASEQ0001",2015-01-01,2021-03-24,8.79931604445711,-13.3604588201767,4.61611570247934
"4112","QDASSD0001",2015-04-25,2018-06-11,0.815426997245179,3.0840220385675,-4.00206611570248
"327","QDASSD0001",2014-04-30,2015-04-25,-0.684517161789889,-3.90286331195422,4.69129785038876
"4111","QDASSD0001",2014-04-30,2018-06-11,0.13090983545529,-0.818841273386724,0.689231734686281
"4122","QDASSD0002",2015-04-16,2018-06-21,3.67500898311175,-2.57106582844591,-1.09879509572852
"328","QDASSD0002",2014-05-01,2015-04-16,1.38697448796263,-4.15896171976345,2.9250692004117
"4121","QDASSD0002",2014-05-01,2018-06-21,5.06198347107438,-6.73002754820937,1.82627410468318
"413","QDASSD0003",2015-04-16,2018-06-21,4.21827036599764,-6.05056080283353,1.92314049586777
"329","QDASSD0003",2014-05-01,2015-04-16,2.51431523022432,-4.67551186851426,2.01511293730194
"4131","QDASSD0003",2014-05-01,2018-06-21,6.73258559622196,-10.7260726713478,3.93825343316971
"414","QDASSD0004",2015-04-16,2018-06-29,0.941115702479339,8.47578053259871,-9.32793847566575
"330","QDASSD0004",2014-05-02,2015-04-16,-1.61268672039423,-3.93227660569558,5.47183509288252
"4141","QDASSD0004",2014-05-02,2018-06-29,-0.671571017914891,4.54350392690313,-3.85610338278322
"415","QDASSD0005",2015-04-26,2018-06-22,0.113512611914601,4.28173962637741,-4.44366068353995
"331","QDASSD0005",2014-05-02,2015-04-26,0.0921150937131054,-1.41318393963991,1.37360952257969
"4151","QDASSD0005",2014-05-02,2018-06-22,0.205627705627706,2.8685556867375,-3.07005116096025
"416","QDASSD0006",2015-04-18,2018-06-17,9.5145036975385,-20.769068314131,11.1716095803849
"332","QDASSD0006",2014-05-03,2015-04-18,-0.402699620535797,-2.46809450140843,2.83826856922204
"4161","QDASSD0006",2014-05-03,2018-06-17,9.1118040770027,-23.2371628155394,14.0098781496069
"417","QDASSD0007",2015-04-20,2018-06-19,7.45487261550475,-11.5567348111802,4.06449731913953
"333","QDASSD0007",2014-05-05,2015-04-20,-0.879985251283342,-1.15586579469738,1.98741962227
"4171","QDASSD0007",2014-05-05,2018-06-19,6.5748873642214,-12.7126006058776,6.05191694140954
"418","QDASSD0008",2015-04-20,2018-06-19,1.92450055646537,-21.1233808550524,19.0835904076373
"334","QDASSD0008",2014-05-04,2015-04-20,-6.04353104658817,5.09332051697297,0.79714452884204
"4181","QDASSD0008",2014-05-04,2018-06-19,-4.1190304901228,-16.0300603380794,19.8807349364794
"419","QDASSD0009",2015-04-21,2018-06-18,2.41689623507805,2.73530762167126,-5.22337006427916
"335","QDASSD0009",2014-05-04,2015-04-21,15.6370523415978,-9.008608815427,-6.75206611570248
"4191","QDASSD0009",2014-05-04,2018-06-18,18.0539485766758,-6.27330119375574,-11.9754361799816
"336","QDASSD0010",2015-04-25,2018-06-20,18.5007484251286,5.80394729237705,-24.2623186730625
"420","QDASSD0011",2015-04-23,2018-06-22,0.140913979215021,3.44616982619963,-3.51290909785693
"337","QDASSD0011",2014-05-07,2015-04-23,1.68440631596896,-4.98023128092102,3.32090693622994
"4201","QDASSD0011",2014-05-07,2018-06-22,1.82532029518399,-1.53406145472139,-0.192002161626995
"4212","QDASSD0012",2015-04-24,2018-06-23,1.35909090909091,-1.83657024793389,0.448347107438018
"338","QDASSD0012",2014-05-07,2015-04-24,4.28902662993572,8.60663452708907,-12.9529384756657
"4211","QDASSD0012",2014-05-07,2018-06-23,5.64811753902663,6.77006427915519,-12.5045913682277
"422","QDASSD0013",2015-04-24,2018-04-25,6.89881193249165,-0.740560644912293,-6.08708770092871
"339","QDASSD0013",2014-05-07,2015-04-24,1.5828563406786,-3.80118449693166,2.2982076415941
"4221","QDASSD0013",2014-05-07,2018-04-25,8.48166827317025,-4.54174514184395,-3.7888800593346
"423","QDASSD0014",2015-04-23,2018-06-23,1.25090823362713,6.5445472121111,-7.76726447887947
"340","QDASSD0014",2014-05-08,2015-04-23,-1.12702167616595,-3.29062644454332,4.47092216295019
"4231","QDASSD0014",2014-05-08,2018-06-23,0.12388655746118,3.25392076756778,-3.29634231592928
"424","QDASSD0015",2015-04-25,2018-06-24,0.986182823274367,2.75483955441991,-3.59865111914267
"341","QDASSD0015",2014-05-08,2015-04-25,0.262562518018708,0.615163246047416,-0.951582417625488
"4241","QDASSD0015",2014-05-08,2018-06-24,1.24874534129308,3.37000280046732,-4.55023353676816
"342","SAABHC0001",2018-04-20,2019-10-05,-3.40077511247628,-3.90240768832128,7.26221099382666
"343","SAABHC0002",2018-04-20,2019-10-07,-2.98898071625344,-3.58057851239669,6.50682444277486
"344","SAABHC0003",2018-04-21,2019-10-08,-1.79678727958659,-7.91846454786485,9.6197818791725
"345","SAABHC0004",2018-04-21,2019-10-06,-14.3561712595705,1.24891050978007,13.0754094916941
"425","SAAFLB0003",2018-10-25,2018-11-07,-6.72916666666666,7.56250000000001,-0.75
"346","SAAFLB0003",2016-10-25,2018-10-25,-0.812499999999993,2.82291666666666,-2.19097222222222
"4251","SAAFLB0003",2016-10-25,2018-11-07,-7.54166666666666,10.3854166666667,-2.94097222222222
"347","SAAFLB0004",2017-08-17,2018-10-03,-7.14326298701299,-0.886603453364813,7.29868285123967
"426","SAAFLB0030",2013-08-13,2018-08-02,-0.698359006088709,4.11106141942814,-3.36129004350217
"248","SAAFLB0030",2010-10-30,2013-08-13,-5.65798960397891,-1.56802662578064,6.99458883362626
"4261","SAAFLB0030",2010-10-30,2018-08-02,-6.35634861006762,2.5430347936475,3.63329879012409
"427","SAAFLB0031",2013-08-13,2018-08-02,-1.36265249901614,5.55696576151121,-4.17443919716647
"249","SAAFLB0031",2010-10-31,2013-08-13,-3.33607373724385,-1.40075514044911,4.52479923317007
"4271","SAAFLB0031",2010-10-31,2018-08-02,-4.69872623625999,4.15621062106211,0.3503600360036
"350","SAAKAN0001",2018-10-19,2020-10-12,13.1386593204775,-5.56262626262626,-7.32222222222222
"351","SAAKAN0002",2018-10-20,2020-10-11,-6.08871393719357,10.0473019821269,-3.39637254686556
"352","SAAKAN0003",2018-10-21,2020-10-11,NA,NA,NA
"353","SAAKAN0004",2018-10-22,2020-10-08,NA,NA,NA
"354","SAAKAN0007",2018-10-25,2020-10-07,-22.8221445221445,3.54516846789573,19.5073135198135
"355","SAAKAN0008",2018-10-26,2020-10-13,NA,NA,NA
"356","SAAKAN0009",2018-10-27,2020-10-13,-10.6230932909819,-36.1797571387014,47.5657304300999
"357","SAAKAN0010",2018-10-28,2020-10-14,4.15681124637906,-2.55804478680783,-1.68188269753098
"358","SAAKAN0012",2018-10-30,2020-10-15,9.32326542379397,-6.85102825293101,-2.77433211608687
"359","SAAMDD0007",2011-06-16,2020-07-08,-20.5537190082645,-8.90220385674931,29.2851239669421
"360","SAAMDD0008",2011-06-17,2020-07-07,-13.7425768793653,2.69093777929802,10.8662238356376
"361","SAAMDD0009",2011-06-18,2020-07-08,-18.2053554268142,-7.31176381757777,25.1648156283463
"362","SAAMDD0010",2011-06-20,2020-07-09,-13.9858323494687,5.95454545454545,8.22963400236128
"363","SAAMDD0011",2011-06-21,2020-07-09,NA,NA,NA
"364","SASMDD0001",2012-09-21,2019-05-02,-6.71718863273887,-20.8144483108598,27.1566985645933
"265","SASMDD0003",2012-09-23,2015-05-01,-9.90425429116338,-14.2762364907819,23.9666658190295
"266","SASMDD0004",2013-01-22,2015-04-23,6.99618279592551,-5.62006544982531,-1.31928845265037
"367","SASMDD0005",2012-09-24,2015-04-29,-4.17539896334732,-12.3791178288693,16.2459232604193
"368","SASMDD0006",2015-04-29,2019-05-01,-0.605883020320316,-7.22498902384581,7.82849163432406
"428","SASMDD0008",2015-04-26,2019-04-30,-2.79761049227452,0.0553000359324471,2.74669421487603
"369","SASMDD0008",2012-03-08,2015-04-26,-2.3008941763042,5.24715819932757,-2.99164434544822
"4281","SASMDD0008",2012-03-08,2019-04-30,-5.09850466857872,5.30245823526002,-0.244950130572189
"270","SASMDD0009",2012-03-06,2015-04-30,-2.75218138628193,-5.22453416511583,7.77992053208733
"271","SASMDD0011",2012-12-16,2015-04-24,8.47513235763665,-3.08562548674546,-5.27603179116649
"372","SASMDD0012",2013-11-19,2015-04-30,10.5400849792221,-10.9616659662885,0.408904141569781
"273","SASMDD0017",2014-10-30,2015-04-24,3.39110980508758,1.30564225349337,-4.71339574425663
"374","SASRIV0001",2015-04-28,2019-04-30,-9.15167683973427,-2.80516129806082,12.2819111580588
"375","SATEYB0001",2014-10-28,2018-09-25,11.6370982552801,-10.8975475760742,-0.778466483011938
"376","SATEYB0002",2014-10-30,2018-09-12,1.56459334208697,-2.02102263072527,0.368003205375764
"377","SATFLB0001",2012-08-13,2018-09-24,NA,NA,NA
"378","SATFLB0002",2012-08-14,2018-09-25,-0.828571428571422,0.119999999999997,0.399999999999999
"379","SATFLB0003",2012-08-15,2018-09-24,5.28866056138784,12.7715359988087,-17.8308763308763
"380","SATFLB0004",2012-09-18,2018-08-28,4.35227272727273,-0.76136363636364,-3.69318181818182
"381","SATFLB0005",2012-08-20,2018-08-28,-13.7777777777778,6.55555555555555,7.11111111111111
"382","SATFLB0006",2012-08-21,2018-08-12,-7.1760687960688,-8.42855036855037,15.3339557739558
"383","SATFLB0008",2012-08-23,2018-08-31,NA,NA,NA
"384","SATFLB0009",2012-08-24,2018-09-01,-1.06944444444444,5.44444444444444,-4.54166666666666
"385","SATFLB0010",2012-08-25,2018-09-11,-9.18990807241985,8.82136856444594,0.372927810820583
"386","SATFLB0011",2012-08-26,2018-09-10,1.51644736842105,13.374634502924,-14.8148148148148
"387","SATFLB0013",2012-11-19,2018-09-15,11.3261268801263,-12.312943877185,1.03260718812023
"388","SATFLB0015",2012-11-22,2018-10-04,3.37857142857143,-4.19285714285714,0.607142857142858
"389","SATFLB0016",2013-08-06,2018-08-08,-1.52512396694215,4.88229902329076,-3.36219383921863
"390","SATFLB0017",2013-08-07,2018-08-06,-2.31188888888889,2.93133333333333,-0.568571428571431
"391","SATFLB0018",2013-08-08,2018-08-08,-12.8988948306595,2.71073677956031,10.2679025549614
"392","SATFLB0019",2013-08-09,2018-08-07,-3.25117744955274,0.410724984397753,2.74562513001872
"393","SATFLB0020",2013-08-10,2018-08-07,-1.89075806963428,7.76578078317658,-5.85312471394937
"394","SATFLB0021",2013-08-14,2018-08-09,-8.66450813624542,4.06689267574861,4.54875492210238
"395","SATFLB0022",2013-08-14,2018-08-09,1.59499249541561,-1.79207701147981,0.225092786807004
"396","SATFLB0023",2013-08-15,2018-08-11,-3.61951987406533,-0.392542306178669,4.07337662337662
"397","SATFLB0024",2013-08-16,2018-08-11,-10.2707378637113,7.79156564056786,2.60285875146339
"398","SATFLB0025",2013-08-17,2018-08-13,-7.23115131481008,5.70758776166131,1.67169012099714
"399","SATFLB0026",2014-10-29,2018-11-09,-0.166666666666664,3.8388888888889,-3.86111111111111
"3100","SATFLB0027",2014-11-05,2018-11-02,4.04545454545455,-4.90909090909091,0.636363636363637
"3101","SATFLB0028",2014-11-06,2018-09-14,14.5968060472946,-20.8334552728674,6.1784791827977
"3102","SATKAN0001",2012-08-21,2018-11-20,-4.31382582046521,-8.3072748043143,12.1679439045588
"3103","SATKAN0002",2012-08-22,2018-11-28,NA,NA,NA
"3104","SATKAN0003",2014-11-03,2018-11-13,-0.177340787554698,3.26931939718035,-3.21102576567817
"3105","SATKAN0004",2014-11-05,2018-10-02,4.74902631328964,-3.32870238434502,-1.57806117602356
"3106","SATSTP0001",2013-08-10,2018-08-10,-1.53762584522915,-13.7294214876033,15.0494966190834
"3107","SATSTP0002",2013-08-12,2018-08-10,-0.78389046503022,-1.32059836056382,1.98224878612199
"3108","SATSTP0003",2013-08-15,2018-08-04,-1.25695224486643,-1.4643783653687,2.90288278655287
"3109","SATSTP0004",2013-08-15,2018-08-03,-11.1759993389343,-4.55751119779939,15.7027240054346
"3110","SATSTP0005",2013-08-17,2018-08-05,-1.67427053466015,-0.256725417439704,1.93876496879744
"3111","SATSTP0006",2013-08-17,2018-08-04,-3.67274053495644,-1.53029721353585,5.10973796627206
"3112","SATSTP0007",2013-08-18,2018-08-04,-0.0782762691853591,0.563317222550182,-0.528844451003543
"3113","SATSTP0008",2013-08-18,2018-08-05,-3.03659976387249,-7.95985832349469,10.8004722550177
"3114","WAAGES0001",2016-08-30,2019-08-01,-3.84549390003935,4.75600157418339,-0.899330972058245
"3115","WAAGES0002",2016-08-30,2019-08-02,-5.82172373081464,9.97210743801653,-4.04161747343566
"3116","WAAGES0003",2016-08-31,2019-08-01,-3.88070641479732,3.71689295552932,0.281286894923259
